Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
35-60,Others,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,Duo plan- Rs 149/month,Music,Rock,Night,Uplifting and motivational,Office hours,"recommendations, Others",5,Daily,Murder Mystery ,Educational,None,Both,Very Dissatisfied
13-20,Female,6 months to 1 year,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Podcast,Rap,Night,Social gatherings or parties,"Study Hours, While Traveling","recommendations, Radio",2,Never,Self help,None,unknown Podcasters,Longer,Dissatisfied
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Rock,Morning,"Relaxation and stress relief, Social gatherings or parties","Office hours, Study Hours, While Traveling","recommendations, Playlists, Radio, Others",1,Rarely,Sports,Story telling,Both,Shorter,Ok
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling","Radio, Others",4,Daily,General knowledge ,Interview,Well known individuals,Longer,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,None,Podcast,Electronic/Dance,Afternoon,Uplifting and motivational,"While Traveling, leisure time","recommendations, Others",3,Once a week,Educational ,Educational,Both,Longer,Dissatisfied
60+,Others,6 months to 1 year,"Smartphone, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Podcast,Kpop,Morning,"Relaxation and stress relief, Social gatherings or parties",leisure time,"recommendations, Others",5,Several times a week,None,Educational,unknown Podcasters,Shorter,Ok
13-20,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Social gatherings ,"Others, Search",1,Rarely,Everything,Interview,unknown Podcasters,Longer,Dissatisfied
35-60,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Old songs,Night,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session, leisure time","recommendations, Radio",3,Never,Self help,Story telling,unknown Podcasters,Longer,Very Dissatisfied
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop, Wearable devices",Premium (paid subscription),No,Individual Plan- Rs 119/ month,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, Workout session","recommendations, Playlists, Others",1,Daily,Murder Mystery ,None,unknown Podcasters,Shorter,Satisfied
20-35,Female,6 months to 1 year,"Smartphone, Wearable devices",Premium (paid subscription),No,Student Plan-Rs 59/month,Podcast,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, Workout session","Others, Search",3,Once a week,Food and cooking,None,Both,Longer,Very Dissatisfied
35-60,Male,Less than 6 months,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,None,Music,Rock,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, leisure time","Others, Search",5,Once a week,Sports,Story telling,Well known individuals,Longer,Dissatisfied
60+,Male,Less than 6 months,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Rock,Night,"Uplifting and motivational, Sadness or melancholy","Office hours, leisure time","Radio, Others",2,Daily,Murder Mystery ,None,Well known individuals,Longer,Very Dissatisfied
13-20,Female,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Old songs,Afternoon,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, Workout session, leisure time","Playlists, Radio, Others",5,Never,Novels,Story telling,Well known individuals,None,Dissatisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,None,Podcast,Melody,Morning,"Uplifting and motivational, Social gatherings or parties",Social gatherings ,Others,3,Never,Stories ,Interview,Both,Both,Very Dissatisfied
13-20,Others,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,None,Music,Rock,Night,"Relaxation and stress relief, Social gatherings or parties",Social gatherings ,Radio,4,Several times a week,Novels,Educational,Both,None,Very Dissatisfied
13-20,Male,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),No,None,Music,Old songs,Night,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, Workout session","Playlists, Radio",1,Daily,Lifestyle and Health,Interview,Well known individuals,Shorter,Ok
20-35,Others,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,"Classical & melody, dance",Afternoon,Relaxation and stress relief,"Office hours, Study Hours, While Traveling, Workout session, leisure time","Playlists, Radio, Others",1,Once a week,Self help,Conversational,Both,Both,Ok
60+,Others,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,None,Podcast,trending songs random,Morning,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Office hours,recommendations,4,Once a week,Everything,None,Both,Shorter,Dissatisfied
60+,Male,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,None,Music,Melody,Morning,Sadness or melancholy,"Office hours, Workout session, leisure time","Playlists, Radio, Others",4,Once a week,Stories ,None,None,Both,Very Satisfied
20-35,Others,Less than 6 months,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,5,Once a week,None,Educational,Well known individuals,Both,Ok
20-35,Female,6 months to 1 year,"Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,Individual Plan- Rs 119/ month,Podcast,All,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time, ","Others, Social media",4,Several times a week,Educational ,Educational,Well known individuals,Shorter,Very Dissatisfied
60+,Female,Less than 6 months,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Student Plan-Rs 59/month,Music,Rap,Afternoon,Relaxation and stress relief,"Office hours, Study Hours, While Traveling, Workout session, leisure time, ",recommendations,5,Never,Self help,Story telling,Both,None,Very Satisfied
35-60,Male,Less than 6 months,"Smartphone, Wearable devices",Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Rap,Morning,Social gatherings or parties,"Study Hours, While Traveling, Workout session, leisure time","Playlists, Radio, Others",5,Rarely,Health and Fitness,None,Well known individuals,Both,Very Dissatisfied
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,classical,Night,Sadness or melancholy,"Office hours, Study Hours, While Traveling, Workout session","recommendations, Others, Social media",1,Rarely,"Political, informative, topics that interests me",Conversational,None,Shorter,Very Satisfied
20-35,Others,Less than 6 months,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,"Relaxation and stress relief, Social gatherings or parties","Workout session, leisure time","recommendations, Playlists, Others",5,Rarely,Comedy,Educational,unknown Podcasters,Longer,Ok
20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Old songs,Afternoon,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session",recommendations,1,Daily,Novels,Story telling,Well known individuals,Shorter,Very Dissatisfied
13-20,Others,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Kpop,Afternoon,Uplifting and motivational,"Office hours, While Traveling, Workout session","recommendations,Others, Social media",2,Never,Business,Conversational,Well known individuals,Both,Ok
60+,Others,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,Individual Plan- Rs 119/ month,Music,Rock,Afternoon,"Uplifting and motivational, Social gatherings or parties","Study Hours, Workout session, leisure time","Others, Search",5,Once a week,Business,None,Well known individuals,Longer,Satisfied
13-20,Female,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling","recommendations, Playlists, Others",1,Never,Stories ,None,Well known individuals,None,Satisfied
20-35,Male,Less than 6 months,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,classical,Morning,Social gatherings or parties,"Office hours, While Traveling, leisure time","recommendations, Playlists, Radio, Others",4,Never,Novels,Story telling,unknown Podcasters,Shorter,Ok
35-60,Male,Less than 6 months,"Smartphone, Wearable devices",Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,classical,Morning,"Uplifting and motivational, Sadness or melancholy","Office hours, Workout session",Others,5,Never,Informative stuff,Story telling,Well known individuals,Longer,Ok
35-60,Others,More than 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,All,Night,"Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Others,3,Several times a week,Everything,Conversational,unknown Podcasters,Shorter,Very Dissatisfied
35-60,Others,1 year to 2 years,"Smartphone, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,trending songs random,Night,"Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session","recommendations, Others, Social media",3,Once a week,Stories ,Educational,unknown Podcasters,None,Ok
20-35,Female,6 months to 1 year,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Duo plan- Rs 149/month,Music,Rock,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time, ",Radio,1,Once a week,Finance related and current affairs,Interview,Both,Longer,Dissatisfied
60+,Others,Less than 6 months,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Family Plan-Rs 179/month,Podcast,classical,Night,"Relaxation and stress relief, Social gatherings or parties",While Traveling,"Playlists, Radio, Others",2,Daily,Food and cooking,Educational,None,Longer,Ok
60+,Others,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Rap,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, Workout session","recommendations, Others, Social media",3,Daily,Technology,Story telling,None,Longer,Dissatisfied
13-20,Male,1 year to 2 years,Wearable devices,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,trending songs random,Morning,Uplifting and motivational,"Office hours, Workout session","recommendations, Radio",5,Once a week,Novels,Educational,Well known individuals,None,Satisfied
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,trending songs random,Afternoon,Social gatherings or parties,"Study Hours, While Traveling, Workout session","Playlists, Others",4,Daily,Spiritual and devotional,Educational,Both,Both,Dissatisfied
13-20,Others,More than 2 years,"Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,Individual Plan- Rs 119/ month,Podcast,trending songs random,Night,"Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, ","Radio, Others",4,Once a week,Food and cooking,Conversational,Well known individuals,Longer,Very Satisfied
13-20,Male,Less than 6 months,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Pop,Night,Relaxation and stress relief,While Traveling,"Playlists, Radio",2,Once a week,Business,Conversational,None,Shorter,Ok
20-35,Male,Less than 6 months,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rock,Night,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Rarely,Novels,Conversational,Both,Shorter,Dissatisfied
35-60,Female,Less than 6 months,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,None,Music,Old songs,Night,Sadness or melancholy,"Office hours, Workout session","recommendations, Radio, Others",3,Never,Murder Mystery ,Conversational,None,None,Satisfied
60+,Female,1 year to 2 years,Wearable devices,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,All,Afternoon,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session",recommendations,1,Once a week,None,Interview,unknown Podcasters,Shorter,Satisfied
35-60,Others,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Rock,Afternoon,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, leisure time","recommendations, Playlists, Others",3,Rarely,Spiritual and devotional,Conversational,None,None,Very Satisfied
35-60,Female,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,trending songs random,Night,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time",Others,5,Never,Health and Fitness,None,Both,None,Dissatisfied
60+,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Pop,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, leisure time","Playlists, Others",5,Rarely,Novels,None,Well known individuals,Both,Very Satisfied
60+,Male,1 year to 2 years,"Computer or laptop, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Rock,Afternoon,Relaxation and stress relief,"Office hours, Study Hours, While Traveling","recommendations, Playlists, Radio",5,Rarely,Business,None,Both,None,Very Satisfied
20-35,Female,1 year to 2 years,Computer or laptop,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,trending songs random,Morning,"Relaxation and stress relief, Sadness or melancholy",Study Hours,"recommendations, Radio",3,Once a week,Lifestyle and Health,None,None,Both,Dissatisfied
35-60,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Morning,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time, Night time, when cooking","Playlists, Others",4,Daily,General knowledge ,Interview,unknown Podcasters,Shorter,Very Satisfied
20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,Podcast,classical,Morning,Uplifting and motivational,"Office hours, Study Hours, While Traveling, Workout session",recommendations,4,Never,Murder Mystery ,Interview,Well known individuals,Longer,Satisfied
60+,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Kpop,Morning,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Study Hours, Workout session","Others, Social media",5,Daily,Murder Mystery ,Educational,None,Shorter,Ok
35-60,Others,6 months to 1 year,"Smartphone, Computer or laptop, Wearable devices",Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,Kpop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Workout session,recommendations,2,Rarely,Murder Mystery ,Conversational,None,Both,Dissatisfied
13-20,Others,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, Workout session, leisure time","Others, Social media",1,Daily,Comedy,None,unknown Podcasters,Longer,Satisfied
20-35,Male,6 months to 1 year,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,trending songs random,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling",Others,4,Never,Business,Story telling,unknown Podcasters,None,Very Satisfied
20-35,Male,1 year to 2 years,Computer or laptop,Free (ad-supported),No,Individual Plan- Rs 119/ month,Podcast,classical,Morning,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties",While Traveling,"Others, Friends",4,Never,Sports,Story telling,unknown Podcasters,Both,Satisfied
20-35,Female,6 months to 1 year,"Smartphone, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,Electronic/Dance,Morning,"Uplifting and motivational, Social gatherings or parties","Office hours, Workout session, leisure time","Others, Social media",4,Never,Spiritual and devotional,Interview,None,None,Very Satisfied
35-60,Female,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),No,Duo plan- Rs 149/month,Music,Rock,Morning,"Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session","Playlists, Radio, Others",3,Daily,"Political, informative, topics that interests me",Educational,Both,Both,Very Satisfied
13-20,Others,Less than 6 months,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time",Others,2,Rarely,Technology,Story telling,unknown Podcasters,Longer,Ok
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,None,Podcast,Pop,Afternoon,"Uplifting and motivational, Social gatherings or parties","Office hours, While Traveling, Workout session","Playlists, Others",1,Several times a week,Educational ,Educational,Well known individuals,Longer,Dissatisfied
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,"Classical & melody, dance",Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, Workout session","recommendations, Playlists, Radio, Others",5,Daily,General knowledge ,Educational,None,Both,Ok
13-20,Male,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,Old songs,Afternoon,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Workout session,"Radio, Others",2,Daily,Lifestyle and Health,Story telling,Well known individuals,None,Ok
35-60,Others,Less than 6 months,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Pop,Morning,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, leisure time","Playlists, Radio",2,Rarely,Sports,Educational,None,Both,Dissatisfied
60+,Others,Less than 6 months,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,Rock,Morning,"Uplifting and motivational, Social gatherings or parties","Study Hours, While Traveling, leisure time",Others,2,Several times a week,Technology,Conversational,Both,Shorter,Ok
60+,Female,6 months to 1 year,Smartphone,Premium (paid subscription),No,Family Plan-Rs 179/month,Music,classical,Afternoon,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time",Playlists,4,Rarely,"Political, informative, topics that interests me",Conversational,unknown Podcasters,Shorter,Ok
13-20,Male,More than 2 years,"Smartphone, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,trending songs random,Afternoon,Uplifting and motivational,"Office hours, Study Hours, While Traveling, Workout session, leisure time, ","recommendations, Playlists, Radio",4,Never,None,Conversational,Both,Shorter,Dissatisfied
35-60,Female,1 year to 2 years,Smartphone,Premium (paid subscription),No,Individual Plan- Rs 119/ month,Music,All,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling, leisure time","recommendations, Others, Social media",3,Once a week,Technology,Educational,Well known individuals,Longer,Very Dissatisfied
13-20,Others,1 year to 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Kpop,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling","recommendations, Others",5,Daily,General knowledge ,Interview,None,None,Dissatisfied
20-35,Others,6 months to 1 year,Computer or laptop,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Morning,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session, leisure time","Playlists, Radio",3,Never,Finance related and current affairs,Educational,Well known individuals,None,Satisfied
35-60,Male,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,All,Night,Sadness or melancholy,"Office hours, Workout session, leisure time","recommendations, Playlists, Others",2,Never,Business,Interview,unknown Podcasters,Shorter,Very Dissatisfied
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,Podcast,Melody,Night,Social gatherings or parties,"Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio, Others",2,Daily,Educational ,Conversational,None,Longer,Satisfied
60+,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,"Classical & melody, dance",Afternoon,Uplifting and motivational,"While Traveling, Workout session","Others, Friends",5,Rarely,Lifestyle and Health,None,unknown Podcasters,Shorter,Dissatisfied
20-35,Male,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,Duo plan- Rs 149/month,Music,"Classical & melody, dance",Afternoon,Sadness or melancholy,Workout session,"Playlists, Radio, Others",5,Daily,Self help,Interview,unknown Podcasters,Both,Very Dissatisfied
13-20,Others,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,None,Podcast,Rock,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session",Radio,1,Never,None,Story telling,Well known individuals,None,Satisfied
13-20,Others,6 months to 1 year,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,"Classical & melody, dance",Afternoon,"Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, ","Playlists, Others",1,Rarely,Informative stuff,Interview,Well known individuals,Both,Ok
60+,Female,1 year to 2 years,Wearable devices,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Old songs,Night,Social gatherings or parties,"Office hours, Workout session",Radio,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,None,Dissatisfied
35-60,Male,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Premium (paid subscription),No,None,Podcast,Electronic/Dance,Morning,Uplifting and motivational,"Office hours, While Traveling, leisure time",recommendations,4,Never,General knowledge ,None,Well known individuals,Both,Ok
13-20,Others,6 months to 1 year,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rock,Night,Sadness or melancholy,While Traveling,"Playlists, Radio, Others",5,Several times a week,Technology,Conversational,Both,Longer,Dissatisfied
20-35,Others,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,All,Morning,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",Playlists,1,Never,Self help,Educational,unknown Podcasters,Longer,Very Dissatisfied
60+,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Student Plan-Rs 59/month,Podcast,Rap,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Random ,"recommendations, Playlists, Radio",5,Rarely,Everything,Conversational,Both,Shorter,Very Dissatisfied
35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,Individual Plan- Rs 119/ month,Podcast,Kpop,Morning,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time, Night time, when cooking",recommendations,2,Daily,Lifestyle and Health,Educational,Both,None,Very Satisfied
20-35,Male,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,None,Podcast,Old songs,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","Radio, Others",2,Never,Murder Mystery ,Conversational,unknown Podcasters,Shorter,Very Satisfied
20-35,Others,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,Music,"Classical & melody, dance",Morning,"Sadness or melancholy, Social gatherings or parties",leisure time,"Others, Search",4,Several times a week,Informative stuff,Educational,Both,Longer,Very Satisfied
35-60,Male,Less than 6 months,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,"Classical & melody, dance",Morning,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Study Hours, leisure time","Others, Search",5,Rarely,Lifestyle and Health,None,None,None,Satisfied
60+,Others,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Electronic/Dance,Morning,Sadness or melancholy,Social gatherings ,"Radio, Others",2,Never,Business,None,Both,None,Satisfied
13-20,Male,6 months to 1 year,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Old songs,Night,"Sadness or melancholy, Social gatherings or parties",Workout session,"Playlists, Radio",3,Rarely,Comedy,Conversational,Both,Shorter,Very Satisfied
13-20,Male,More than 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,"Classical & melody, dance",Afternoon,Relaxation and stress relief,"Office hours, Study Hours, While Traveling, Workout session, leisure time, ","Others, Social media",2,Once a week,Stories ,Educational,Both,Both,Dissatisfied
20-35,Female,6 months to 1 year,"Smartphone, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,Pop,Afternoon,Social gatherings or parties,"Office hours, While Traveling, leisure time","Radio, Others",4,Never,Food and cooking,Educational,unknown Podcasters,Shorter,Satisfied
35-60,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,None,Podcast,classical,Morning,"Sadness or melancholy, Social gatherings or parties","Office hours, Workout session","recommendations, Playlists, Radio, Others",4,Never,Educational ,Story telling,None,None,Very Satisfied
20-35,Female,Less than 6 months,Computer or laptop,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Kpop,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Before bed ","recommendations, Radio, Others",1,Never,Comedy,Educational,None,Both,Dissatisfied
60+,Others,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Others",1,Several times a week,None,Story telling,unknown Podcasters,None,Dissatisfied
20-35,Others,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Family Plan-Rs 179/month,Music,All,Morning,"Relaxation and stress relief, Uplifting and motivational",Study Hours,"recommendations, Others, Social media",4,Several times a week,Comedy,None,unknown Podcasters,Longer,Very Satisfied
